Necessidade a ser atendida;Transversal;Público alvo;Unidades organizacionais;UF;Enfoque do desenvolvimento;Competência associada;Quantidade prevista de servidores;Área temática – Sistema Estruturante do Poder Executivo Federal;Modalidade;Tipo de aprendizagem;Especificação do tipo de aprendizagem;Título;Carga horária individual prevista;Término previsto;Ação gratuita;Custo individual previsto;A necessidade pode ser atendida pela Escola de Governo do meu Órgão
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Servidores que atuam com os sistema SIAFI;IFPR;PR;Aprimoramento Técnico;Delegação, Relacionamento interpessoal, Técnica/Específica do cargo;80;Controle Interno, Custos;A distância;Evento de Capacitação;Curso;SIAFI Operacional - Sistema Integrado de Administração Financeira;00:00;2020;Sim;;Não
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Servidores que utilizam o Sistema SICONV;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Correição, Gestão, organização e inovação institucional ;Presencial;Evento de Capacitação;Curso;Siconv;00:00;2020;Sim;;Não
Trabalhar o servidor para o desenvolvimento de atividades relacionadas e Nos sistemas e aplicativos usados no IFPR (SEI);Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Técnica/Específica do cargo;500;Ética;A distância, Presencial;Evento de Capacitação;Curso;Funcionalidades do SEI;00:00;2020;Sim;;Não
Trabalhar o servidor para o desenvolvimento de atividades relacionadas ao sistemas e aplicativos do IFPR;Sim;TIC;TIC e DTIC;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;200;Ética;A distância, Presencial;Evento de Capacitação;Curso;Segurança de redes e sistemas;00:00;2020;;100;Não
Trabalhar o servidor para o desenvolvimento de atividades relacionadas ao sistemas e aplicativos usados no IFPR;Sim;Servidores que atuam com o Sistema SIAPE;PROGEPE GT- Pessoas;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;80;Gestão, organização e inovação institucional ;Presencial;Evento de Capacitação;Curso;SIAPE Cadastro e Folha;00:00;2020;Sim;;Não
Trabalhar o servidor para o desenvolvimento de atividades relacionadas aos sistemas e aplicativos usados no IFPR;Sim;Servidores que trabalham com o Sistema de Tesouro Gerencial;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal, Técnica/Específica do cargo;50;Controle Interno;A distância, Presencial;Evento de Capacitação;Curso;Tesouro Gerencial;00:00;2020;Sim;;Não
Trabalhar o servidor para o desenvolvimento de atividades relacionadas aos sistemas e aplicativos usados no IFPR (Libre Office);Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Técnica/Específica do cargo;350;Ética;A distância, Presencial;Evento de Capacitação;Curso;LibreOffice;00:00;2020;Sim;;Não
Trabalhar o servidor para o desenvolvimento de atividades relacionadas aos sistemas e aplicativos usados no IFPR. (Sistema SIG);Sim;Servidores IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Técnica/Específica do cargo;300;Administração financeira, Comunicação, Ética;A distância, Presencial;Evento de Capacitação;Curso;;00:00;2020;Sim;;Sim
Aumentar a qualificação profissional do servidores para melhor desenvolvimento de projetos e ações em parceria com a comunidade;Não;Professores;IFPR;PR;Aprimoramento Técnico, Educação Formal;Processo decisório;500;Transparência e controle social;A distância, Presencial;Evento de Capacitação;Curso;Política de Permanência Estudantil;00:00;2020;Sim;;Sim
Aumentar a qualificação profissional do servidores para melhor desenvolvimento de projetos e ações em parceria com a comunidade.;Sim;Professores e atuantes no Núcleo de Apoio a Pessoas com Necessidades Específicas – NAPNE;IFPR NAPNE;PR;Aprimoramento Técnico, Educação Formal;Aplicativos e sistemas, Comunicação eficaz, Orientação por resultados, Representação Institucional;150;Administração financeira, Planejamento e orçamento;A distância, Presencial;Evento de Capacitação;;Educação Inclusiva e Acessibilidade;00:00;0;Sim;;Sim
Oportunizar diálogos e debates entre os docentes visando oportunizar espaços de compartilhamentos de experiências;Sim;Professores , Pedagogos e Técnicos em Educação;IFPR;PR;Aprimoramento Técnico, Educação Formal;Processo decisório, Relacionamento interpessoal;500;Transparência e controle social;A distância, Presencial;Evento de Capacitação;;Tendências pedagógicas e educacionais;00:00;2020;Sim;;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação em se tratando de língua, fluência e pesquisas.;Sim;Servidores do IFPR;CELIF;PR;Aprimoramento Técnico;Aplicativos e sistemas, Autocrítica, Orientação por resultados;300;Ouvidoria, Transparência e controle social;A distância, Presencial;Evento de Capacitação;Curso;Língua Espanhola;00:00;2022;Sim;;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação em se tratando de língua, fluência e pesquisas.;Sim;SERVIDORES DO IFPR;CELIF IFPR;PR;Aprimoramento Técnico;Autocrítica, Condução de mudanças, Orientação por resultados;300;Ouvidoria, Transparência e controle social;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Língua Inglesa;00:00;2022;Sim;;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação em se tratando de língua, fluência e pesquisas.;Sim;SERVIDORES IFPR;CELIF;PR;Aprimoramento Técnico, Educação Formal;Autocrítica, Processo decisório;300;Ouvidoria;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;LIBRAS - Língua Brasileira de Sinais;00:00;0;Sim;;Sim
Preparar pessoas para atuarem em situações emergenciais, operando equipamentos de combate a incêndios, auxiliando no plano de abandono.;Sim;SERVIDORES DO IFPR;IFPR;PR;Aprimoramento Técnico, Comportamental, gerencial ou liderança;Delegação, Relacionamento interpessoal;600;Serviços gerais (logística);A distância;Evento de Capacitação;Curso;FORMAÇÃO DA BRIGADA DE INCÊNDIO;00:00;2020;;100;Não
Preparar os servidores para agir da forma correta em situações de emergência dentro do ambiente de trabalho. (Equipe de Primeiros Socorros);Sim;Servidores IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Articulação, Visão sistêmica;300;Serviços gerais (logística);A distância;Evento de Capacitação;Curso;Treinamento de Primeiros Socorros;00:00;2020;;100;Sim
